VER, alt
14925373134.32816,91.09816669833944
34825794732.39278,91.7970050373047
67164179104.47769,92.39600671640626
104477611940.29843,92.59567089609337
169154152941.34778,93.09484048535136
226368007375.2331,93.34442299497032
283582089552.2388,93.79367425429648
328358208955.2239,94.29284384355452
378109376821.94476,94.89184552265608
412935171554.3378,95.59067929160118
442785917822.99414,96.33943139047814
472636664091.6509,97.18802014921876
487562037225.97925,97.68718745346672
485074626865.67163,98.78535643681624
480099350658.8153,99.68385895546858
472636664091.6509,100.38269500942376
445273555926.4223,100.98169668852532
390547111852.84503,101.78036483232404
340795943986.1241,102.77870172583002
278606813345.38245,104.02662112895491
241293380509.5615,104.92512364760728
196517261106.57635,106.17304533574224
134328358208.95517,107.42096473886714
109452660404.03467,108.06988246289048
74626865671.64168,109.86688750019518
52238805970.149315,111.26455960810554
37313432835.820946,112.36272859145504
22388059701.49256,113.5108159047364
17412783494.63624,115.15807052226572
14925373134.32816,116.25623950561524
9950096927.47184,117.40432681889658
2487410360.30786,119.30116508854984
