VER,alt
0.0,91.36622386936068
1.5150590376420656e-09,98.19734321616409
4.545454545454551e-09,105.93928021311808
1.5151422674005722e-08,109.35483988651978
3.4848438609730165e-08,113.11195552726164
5.4545454545454485e-08,116.75522091613362
6.06059681285511e-08,119.2599629393847
5.909090909090917e-08,121.42314899529563
4.8484802246093826e-08,123.35863454746676
4.2424149946732895e-08,125.0664143841676
5.0000000000000064e-08,126.31878800165838
6.96968772194602e-08,128.25426834209904
9.393934770063932e-08,129.73434767506006
1.303029840642755e-07,131.21442179629065
1.7424233176491473e-07,132.58064566565133
2.151514226740057e-07,134.4022757542221
2.560605135830965e-07,135.54079911984297
2.696968772194603e-07,135.99620533905303
2.803029840642757e-07,136.79316752560328
2.9242414994673294e-07,137.81783542762378
3.030302567915483e-07,138.95635879324465
2.848484386097301e-07,139.52561526432464
2.409090909090908e-07,140.89183913368532
2.2727272727272729e-07,141.80265678383591
2.121211658824574e-07,142.1442127511761
1.7424233176491473e-07,142.94117493772634
1.4696960449218746e-07,143.85199258787694
1.3787869540127833e-07,144.87666048989746
1.303029840642755e-07,146.24288435925814
1.0606051358309661e-07,146.81214604206858
8.030298406427554e-08,147.60910822861882
6.212116588245734e-08,148.5199258787694
5.1515059037642e-08,149.8861497481301
