z,VER_127,VER_428,rho,c,T
105.3,228000000000.0001,5.610858454896184e-09,1.5466363624915064e-05,197.29534046723,168.54884312280848
105.4,223999999999.9998,5.757966002719867e-09,1.504430801827055e-05,197.14142488532397,168.28594027154193
105.5,220000000000.0,5.909203953890448e-09,1.4634801675069516e-05,196.9875989072463,168.02340985141095
105.6,216000000000.0002,6.064707204740604e-09,1.423728719786292e-05,196.833725016589,167.76101837766794
105.7,211999999999.9999,6.2246130178623724e-09,1.385120718920172e-05,196.67966569694383,167.4985323655653
105.8,208000000000.0001,6.389060991530381e-09,1.3476004251636867e-05,196.52528343190272,167.23571833035547
105.9,203999999999.9998,6.558193027644013e-09,1.3111120987719308e-05,196.37044070505743,166.9723427872908
106.0,200000000000.0,6.732153298197078e-09,1.2756000000000001e-05,196.21500000000003,166.70817225162378
106.1,195500000000.00024,6.9111000437216126e-09,1.2410145163154973e-05,196.05888334978428,166.44307313013294
106.2,190999999999.99988,7.095241917776654e-09,1.2073305440360588e-05,195.90225098531226,166.1773113957017
106.3,186500000000.00012,7.284803985710772e-09,1.1745291066918259e-05,195.74532268694804,165.91125291273963
106.4,181999999999.99976,7.480016062573611e-09,1.1425912278129422e-05,195.5883182350557,165.6452635456563
106.5,177500000000.0,7.681112661022443e-09,1.1114979309295524e-05,195.43145740999933,165.37970915886126
106.6,173000000000.00024,7.88833293636653e-09,1.0812302395717979e-05,195.27495999214307,165.11495561676412
106.7,168499999999.99988,8.101920628765323e-09,1.0517691772698228e-05,195.11904576185088,164.8513687837745
106.8,164000000000.00012,8.322124002597891e-09,1.0230957675537688e-05,194.96393449948695,164.58931452430178
106.9,159499999999.99976,8.549195783021286e-09,9.9519103395378e-06,194.8098459854153,164.32915870275573
107.0,155000000000.0,8.783393089736986e-09,9.680360000000002e-06,194.65700000000004,164.07126718354584
107.1,150500000000.00024,9.024943464031737e-09,9.416129909049358e-06,194.5054580927032,163.8157437691649
107.2,145999999999.99988,9.27394081877442e-09,9.159095386105557e-06,194.35464888937858,163.56164401443837
107.3,141500000000.00012,9.530443128951797e-09,8.909144767411909e-06,194.20384278497812,163.30776141227494
107.4,136999999999.99976,9.794505734650734e-09,8.666166389211741e-06,194.05231017445348,163.05288945558326
107.5,132500000000.0,1.0066181309756243e-08,8.430048587748387e-06,193.89932145275648,162.79582163727196
107.6,128000000000.00024,1.0345519831705063e-08,8.200679699265155e-06,193.74414701483903,162.5353514502499
107.7,123499999999.99986,1.0632568552300421e-08,7.977948060005386e-06,193.58605725565286,162.27027238742554
107.8,119000000000.00014,1.0927371969593769e-08,7.76174200621238e-06,193.42432257014974,161.99937794170762
107.9,114499999999.99976,1.1229971800838534e-08,7.5519498741294765e-06,193.25821335328152,161.72146160600488
108.0,110000000000.0,1.1540406956520944e-08,7.348460000000001e-06,193.08700000000002,161.4353168732259
108.1,108000000000.0001,1.1858704041277522e-08,7.15110507064759e-06,192.9105242794032,161.1406821709223
